Codigo_Pieza,Extension,Largo_CAD,Ancho_CAD,Espesor_Perfil_CAD,Material,Observaciones,Tiene_DXF,Largo_DXF,Ancho_DXF,Largo_DXF_Nuevo,Ancho_DXF_Nuevo,Ruta_Archivo
C53-PIS-001,.sldprt,2402.0,1249.7,3.04,,OK (CAD y DXF coinciden),SI,2402.0,1249.6902240144375,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-PIS-001.SLDPRT
C53-PIS-002,.sldprt,2402.0,1411.7,3.04,,OK (CAD y DXF coinciden),SI,2402.0,1411.690224014438,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-PIS-002.SLDPRT
C53-PIS-003,.sldprt,2434.4,676.7,4.76,,OK (CAD y DXF coinciden),SI,2434.4,676.7427525190824,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-PIS-003.SLDPRT
C53-PIS-004,.sldprt,2424.0,50.8,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-PIS-004.SLDPRT
C53-PIS-005,.sldprt,2068.4,777.2,3.04,,OK (CAD y DXF coinciden),SI,2068.4,777.2056625003697,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-PIS-005.SLDPRT
C53-PIS-006,.sldprt,,,,,No se pudo abrir el documento.,SI,2402.0,1475.8902240144394,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-PIS-006.SLDPRT
C53-PIS-014,.sldprt,,,,,No se pudo abrir el documento.,SI,2402.6,979.0,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-PIS-014.SLDPRT
C53-TAP-001,.sldprt,,,,,No se pudo abrir el documento.,SI,2759.0,1219.0,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-TAP-001.SLDPRT
C53-TAP-002,.sldprt,,,,,No se pudo abrir el documento.,SI,2759.0,1219.0,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-TAP-002.SLDPRT
C53FT-ALUM-ABT1,.sldprt,,,,,No se pudo abrir el documento.,SI,3400.50000004,738.3272,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-ALUM-ABT1.SLDPRT
C53FT-ALUM-ABT3,.sldprt,,,,,No se pudo abrir el documento.,SI,3400.50000004,918.74,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-ALUM-ABT3.SLDPRT
C53FT-ALUM-ABT4,.sldprt,,,,,No se pudo abrir el documento.,SI,712.9272000000001,304.8,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-ALUM-ABT4.SLDPRT
C53FT-ALUM-ABT5,.sldprt,,,,,No se pudo abrir el documento.,SI,2584.9,697.0517000000002,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-ALUM-ABT5.SLDPRT
